time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2752 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2753 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2754 = Tree[a, {Tree[a, {a,a}],a,a}]
p2755 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2756 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2757 = Tree[a, {a,a,a,a,a}]
p2758 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2759 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2760 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2761 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2762 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2763 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2764 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2765 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2766 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2767 = Tree[a, {a,Tree[a, {a,a}],a}]
p2768 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2769 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2770 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2771 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2772 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2773 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2774 = Tree[a, {Tree[a, {a,a,a}],a}]
p2775 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2776 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2777 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2778 = Tree[a, {Tree[a, {a,a}],a,a}]
p2779 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2780 = Tree[a, {Tree[a, {a,a}],a,a}]
p2781 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2782 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2783 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2784 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2785 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2786 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2787 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2788 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2789 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2790 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p2791 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2792 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2793 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2794 = Tree[a, {a,Tree[a, {a}],a,a}]
p2795 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2796 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2797 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2798 = Tree[a, {a,Tree[a, {a}],a,a}]
p2799 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2800 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2801 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2802 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2803 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2804 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2805 = Tree[a, {Tree[a, {a,a}],a,a}]
p2806 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2807 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2808 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2809 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2810 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2811 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2812 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2813 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2814 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2815 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2816 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2817 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2818 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2819 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2820 = Tree[a, {Tree[a, {a,a,a}],a}]
p2821 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2822 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2823 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2824 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2825 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2826 = Tree[a, {a,a,a,a,a}]
p2827 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2828 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2829 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2830 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2831 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p2832 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2833 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2834 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2835 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2836 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2837 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2838 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2839 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2840 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2841 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2842 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2843 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2844 = Tree[a, {a,Tree[a, {a,a}],a}]
p2845 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2846 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2847 = Tree[a, {a,a,Tree[a, {a}],a}]
p2848 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2849 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2850 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2851 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2852 = Tree[a, {Tree[a, {a,a}],a,a}]
p2853 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2854 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2855 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2856 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2857 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2858 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2859 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2860 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2861 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2862 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2863 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2864 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2865 = Tree[a, {Tree[a, {a}],a,a,a}]
p2866 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2867 = Tree[a, {Tree[a, {a,a}],a,a}]
p2868 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2869 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2870 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2871 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p2872 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2873 = Tree[a, {Tree[a, {a,a,a}],a}]
p2874 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2875 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2876 = Tree[a, {Tree[a, {a}],a,a,a}]
p2877 = Tree[a, {a,Tree[a, {a}],a,a}]
p2878 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2879 = Tree[a, {Tree[a, {a,a,a}],a}]
p2880 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2881 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2882 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2883 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2884 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2885 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2886 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2887 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2888 = Tree[a, {Tree[a, {a,a}],a,a}]
p2889 = Tree[a, {a,a,Tree[a, {a}],a}]
p2890 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2891 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2892 = Tree[a, {a,a,a,a,a}]
p2893 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2894 = Tree[a, {a,Tree[a, {a,a}],a}]
p2895 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2896 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2897 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2898 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2899 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2900 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2901 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2902 = Tree[a, {Tree[a, {a,a}],a,a}]
p2903 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2904 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2905 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2906 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2907 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p2908 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2909 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2910 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2911 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2912 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2913 = Tree[a, {a,Tree[a, {a}],a,a}]
p2914 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2915 = Tree[a, {a,a,Tree[a, {a}],a}]
p2916 = Tree[a, {a,Tree[a, {a,a}],a}]
p2917 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2918 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2919 = Tree[a, {a,Tree[a, {a}],a,a}]
p2920 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p2921 = Tree[a, {Tree[a, {a,a,a}],a}]
p2922 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2923 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2924 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2925 = Tree[a, {a,Tree[a, {a,a}],a}]
p2926 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2927 = Tree[a, {a,Tree[a, {a}],a,a}]
p2928 = Tree[a, {a,Tree[a, {a,a}],a}]
p2929 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2930 = Tree[a, {Tree[a, {a,a}],a,a}]
p2931 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2932 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2933 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2934 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2935 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p2936 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2937 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p2938 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2939 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2940 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p2941 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2942 = Tree[a, {Tree[a, {a,a,a}],a}]
p2943 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2944 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2945 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p2946 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2947 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2948 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2949 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2950 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2951 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p2952 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2953 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2954 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p2955 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2956 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2957 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2958 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2959 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2960 = Tree[a, {Tree[a, {a}],a,a,a}]
p2961 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p2962 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2963 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2964 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p2965 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p2966 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p2967 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p2968 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2969 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2970 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2971 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2972 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p2973 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p2974 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p2975 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2976 = Tree[a, {a,a,a,Tree[a, {a}]}]
p2977 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2978 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2979 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p2980 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p2981 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2982 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p2983 = Tree[a, {Tree[a, {a,a}],a,a}]
p2984 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p2985 = Tree[a, {a,a,Tree[a, {a,a}]}]
p2986 = Tree[a, {Tree[a, {a,a,a,a}]}]
p2987 = Tree[a, {Tree[a, {a,a}],a,a}]
p2988 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p2989 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2990 = Tree[a, {a,Tree[a, {a,a,a}]}]
p2991 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p2992 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p2993 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p2994 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p2995 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p2996 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p2997 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p2998 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p2999 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p3000 = Tree[a, {a,Tree[a, {a,a,a}]}]
p3001 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p3002 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p3003 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p3004 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p3005 = Tree[a, {a,Tree[a, {a,a,a}]}]
p3006 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p3007 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p3008 = Tree[a, {a,a,Tree[a, {a,a}]}]
p3009 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p3010 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p3011 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p3012 = Tree[a, {a,a,Tree[a, {a,a}]}]
p3013 = Tree[a, {a,a,a,a,a}]
p3014 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p3015 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p3016 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p3017 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p3018 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p3019 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p3020 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p3021 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p3022 = Tree[a, {a,a,a,Tree[a, {a}]}]
p3023 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p3024 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p3025 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p3026 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p3027 = Tree[a, {a,a,a,a,a}]
p3028 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p3029 = Tree[a, {a,Tree[a, {a}],a,a}]
p3030 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p3031 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p3032 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p3033 = Tree[a, {a,a,Tree[a, {a,a}]}]
p3034 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p3035 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p3036 = Tree[a, {Tree[a, {a,a,a,a}]}]
p3037 = Tree[a, {a,Tree[a, {a}],a,a}]
p3038 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p3039 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p3040 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p3041 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p3042 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p3043 = Tree[a, {a,a,a,Tree[a, {a}]}]
p3044 = Tree[a, {a,a,a,a,a}]
p3045 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p3046 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p3047 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p3048 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p3049 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p3050 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p3051 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p3052 = Tree[a, {a,Tree[a, {a,a}],a}]
p3053 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p3054 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p3055 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p3056 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p3057 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p3058 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p3059 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p3060 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p3061 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p3062 = Tree[a, {a,a,Tree[a, {a}],a}]
p3063 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p3064 = Tree[a, {a,a,a,a,a}]
p3065 = Tree[a, {Tree[a, {a,a,a,a}]}]
p3066 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p3067 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p3068 = Tree[a, {a,a,Tree[a, {a}],a}]
p3069 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p3070 = Tree[a, {a,Tree[a, {a,a}],a}]
p3071 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p3072 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p3073 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p3074 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p3075 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p3076 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p3077 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p3078 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p3079 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p3080 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p3081 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p3082 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p3083 = Tree[a, {a,Tree[a, {a,a,a}]}]
p3084 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p3085 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p3086 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p3087 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p3088 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p3089 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p3090 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p3091 = Tree[a, {Tree[a, {a,a}],a,a}]
p3092 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p3093 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p3094 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p3095 = Tree[a, {Tree[a, {a,a}],a,a}]
p3096 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p3097 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p3098 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p3099 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p3100 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p3101 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p3102 = Tree[a, {a,Tree[a, {a,a,a}]}]
p3103 = Tree[a, {Tree[a, {a,a,a}],a}]
p3104 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p3105 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p3106 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p3107 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p3108 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p3109 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p3110 = Tree[a, {Tree[a, {a}],a,a,a}]
p3111 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p3112 = Tree[a, {a,a,Tree[a, {a}],a}]
p3113 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p3114 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p3115 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p3116 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p3117 = Tree[a, {a,a,Tree[a, {a,a}]}]
p3118 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p3119 = Tree[a, {a,Tree[a, {a}],a,a}]
p3120 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p3121 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p3122 = Tree[a, {a,Tree[a, {a}],a,a}]
p3123 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p3124 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
